sta lat lon HLE HLN HLZ dist az Max3 MaxH MaxZ MaxS
C043 23.4048 120.336 14.456800 14.952400 2.482090 127.254 278.373 14.952400 14.952400 2.482090 20.945981
C047 23.4937 120.455 11.938700 10.951900 5.379820 117.121 283.969 11.938700 11.938700 5.379820 17.071003
C049 23.3655 120.366 18.545400 30.829500 5.052770 123.675 276.57 30.829500 30.829500 5.052770 36.330709
C053 23.2864 120.364 15.541000 10.715800 3.336930 123.325 272.505 15.541000 15.541000 3.336930 19.169928
C056 23.2621 120.139 15.944500 12.693100 3.070100 146.225 271.141 15.944500 15.944500 3.070100 20.609886
C058 23.1714 120.327 9.260940 10.610200 4.568460 127.269 266.706 10.610200 10.610200 4.568460 14.805816
C060 23.1234 120.246 10.529600 16.889000 2.805530 136.016 264.704 16.889000 16.889000 2.805530 20.099298
C062 23.1216 120.459 6.946540 10.868400 4.101770 114.326 263.501 10.868400 10.868400 4.101770 13.535178
C065 22.9043 120.352 15.800300 9.888400 6.455350 130.133 253.52 15.800300 15.800300 6.455350 19.725655
C066 22.9188 120.217 7.409030 9.203300 5.479430 142.969 255.751 9.203300 9.203300 5.479430 13.023771
C069 22.9732 120.19 8.594510 10.792800 7.016050 144.303 258.351 10.792800 10.792800 7.016050 15.478213
C082 23.7227 120.307 5.454930 6.656140 4.835430 139.403 292.686 6.656140 6.656140 4.835430 9.871264
C087 23.3821 120.53 17.751800 18.110600 5.474680 107.307 278.499 18.110600 18.110600 5.474680 25.944024
C092 23.7889 120.486 4.869920 3.505500 2.809540 125.979 298.931 4.869920 4.869920 2.809540 6.625569
C094 23.7923 120.331 3.729620 4.444590 3.386550 140.286 295.98 4.444590 4.444590 3.386550 6.718122
C095 23.4559 120.331 9.483820 10.788700 6.026970 128.727 280.834 10.788700 10.788700 6.026970 15.577652
C096 22.9813 120.241 8.304910 7.757850 7.021250 139.003 258.26 8.304910 8.304910 7.021250 13.358657
C097 23.0089 120.212 6.612720 7.404490 4.021630 141.322 259.729 7.404490 7.404490 4.021630 10.711118
C098 23.0006 120.166 16.620200 12.163900 8.497350 146.068 259.715 16.620200 16.620200 8.497350 22.279957
C100 23.2256 120.35 21.718700 19.429700 6.267390 124.637 269.389 21.718700 21.718700 6.267390 29.807639
C104 23.6678 120.473 14.754400 6.968500 4.627390 121.358 293.067 14.754400 14.754400 4.627390 16.960691
C105 23.5547 120.345 10.497600 13.236700 4.933040 129.68 285.714 13.236700 13.236700 4.933040 17.599566
C106 23.4363 120.415 12.773700 17.749400 5.171430 119.885 280.548 17.749400 17.749400 5.171430 22.471144
C107 23.2977 120.299 19.117300 17.915100 6.920920 129.965 272.956 19.117300 19.117300 6.920920 27.098360
C112 23.7025 120.193 5.619130 5.854770 4.592840 149.428 290.214 5.854770 5.854770 4.592840 9.324545
C116 23.0768 120.117 6.021080 10.064000 2.071330 149.736 263.253 10.064000 10.064000 2.071330 11.909152
C123 23.4835 120.24 12.596300 19.033900 5.690570 138.431 281.388 19.033900 19.033900 5.690570 23.523153
C129 23.2926 120.244 20.050000 16.054600 4.218270 135.58 272.616 20.050000 20.050000 4.218270 26.029723
C131 23.1196 120.361 9.435660 12.487100 6.535560 124.289 263.959 12.487100 12.487100 6.535560 16.960922
C138 23.6454 120.317 9.738670 9.319140 4.839000 135.364 289.504 9.738670 9.738670 4.839000 14.321452
C139 23.6443 120.431 7.039700 7.423770 2.889590 124.427 291.189 7.423770 7.423770 2.889590 10.631061
C140 23.2377 120.175 23.457200 16.104200 5.846040 142.541 270.067 23.457200 23.457200 5.846040 29.047576
C141 23.1226 120.199 12.039200 13.023300 4.871130 140.808 264.864 13.023300 13.023300 4.871130 18.392297
C142 23.0559 120.403 17.070200 24.430500 7.981890 121.033 260.406 24.430500 24.430500 7.981890 30.853713
C143 22.9641 120.359 29.446800 21.324300 9.605270 127.661 256.27 29.446800 29.446800 9.605270 37.604534
C144 23.6044 120.394 7.633480 8.352420 3.917340 126.509 288.711 8.352420 8.352420 3.917340 11.974076
C145 23.4605 120.153 6.115460 12.591800 4.019230 146.671 279.763 12.591800 12.591800 4.019230 14.563876
C146 23.1817 120.26 9.562840 12.629300 4.278480 134.064 267.388 12.629300 12.629300 4.278480 16.408916
D008 22.6284 120.376 17.049800 14.095900 4.496220 139.894 241.156 17.049800 17.049800 4.496220 22.574456
D009 22.8675 120.264 15.946400 10.348100 2.795450 139.901 252.996 15.946400 15.946400 2.795450 19.214198
D011 22.7601 120.264 9.872180 9.352550 4.203190 143.934 248.477 9.872180 9.872180 4.203190 14.233655
D012 22.8772 120.379 14.656800 16.233000 4.941290 128.366 251.872 16.233000 16.233000 4.941290 22.422052
D013 22.7945 120.365 17.190200 17.241500 9.239180 132.882 248.321 17.241500 17.241500 9.239180 26.041020
D014 22.7015 120.349 6.432930 8.541040 4.354780 138.622 244.64 8.541040 8.541040 4.354780 11.545391
D015 22.6543 120.341 9.668750 7.629750 6.834710 141.657 242.871 9.668750 9.668750 6.834710 14.085847
D017 22.507 120.393 4.704600 2.085470 2.745190 145.462 236.188 4.704600 4.704600 2.745190 5.832539
D028 22.826 120.599 9.207200 11.084500 3.797200 109.474 245.286 11.084500 11.084500 3.797200 14.901591
D031 22.5822 120.489 7.654930 9.654200 5.463120 132.67 236.772 9.654200 9.654200 5.463120 13.477656
D032 22.5437 120.461 11.165900 8.559730 2.383930 137.462 235.966 11.165900 11.165900 2.383930 14.269878
D033 22.4622 120.461 4.725640 4.442340 2.847040 142.762 232.978 4.725640 4.725640 2.847040 7.083198
D034 22.5283 120.628 2.916000 3.817460 2.568270 124.736 230.843 3.817460 3.817460 2.568270 5.447207
D035 22.5471 120.54 10.754000 8.174850 3.944680 130.576 234.071 10.754000 10.754000 3.944680 14.072569
D039 22.0954 120.748 0.896154 0.998945 0.515771 152.395 213.712 0.998945 0.998945 0.515771 1.437707
D044 22.4366 120.511 11.521900 11.065200 3.232900 140.429 230.761 11.521900 11.521900 3.232900 16.298603
D054 23.2765 120.721 12.014400 16.384000 13.349600 86.7934 272.67 16.384000 16.384000 13.349600 24.310349
D062 22.622 120.293 8.853180 9.718790 6.360170 147.765 242.544 9.718790 9.718790 6.360170 14.604295
D063 22.9043 120.183 10.959500 9.328520 3.208470 146.815 255.5 10.959500 10.959500 3.208470 14.745379
D064 22.7834 120.248 15.984000 13.320500 4.575090 144.528 249.672 15.984000 15.984000 4.575090 21.303883
D065 22.7522 120.312 13.357200 9.896500 6.109050 139.785 247.396 13.357200 13.357200 6.109050 17.710900
D066 22.7303 120.346 15.496500 20.426900 11.108300 137.573 245.897 20.426900 20.426900 11.108300 27.942693
D067 22.6552 120.424 8.751580 6.198200 3.289840 134.147 241.234 8.751580 8.751580 3.289840 11.217437
D068 22.976 120.544 13.306100 11.042300 5.504420 108.937 254.491 13.306100 13.306100 5.504420 18.146166
D069 22.8858 120.665 15.947500 10.946800 6.230340 100.634 247.075 15.947500 15.947500 6.230340 20.321720
D070 22.781 120.496 12.153500 12.141700 5.468880 121.206 245.279 12.153500 12.153500 5.468880 18.028785
D071 22.6477 120.521 7.721230 10.833400 3.527650 125.93 238.676 10.833400 10.833400 3.527650 13.763149
D072 22.6672 120.601 6.963680 6.807840 5.177320 117.827 237.471 6.963680 6.963680 5.177320 11.029241
D075 22.4882 120.506 10.923700 8.389540 3.309410 137.29 232.741 10.923700 10.923700 3.309410 14.165585
D076 22.4263 120.565 3.993730 4.652840 2.187380 136.998 228.925 4.652840 4.652840 2.187380 6.510256
D077 22.7454 120.732 6.279370 7.630570 3.669330 101.884 237.47 7.630570 7.630570 3.669330 10.541350
D079 22.591 120.633 12.590500 8.769920 6.203500 120.049 233.254 12.590500 12.590500 6.203500 16.550396
D085 22.884 120.329 9.948570 7.815550 3.998860 133.021 252.888 9.948570 9.948570 3.998860 13.268299
D086 22.7927 120.303 10.749700 9.328350 3.593580 138.904 249.244 10.749700 10.749700 3.593580 14.679509
D088 22.644 120.319 8.742550 8.326520 5.602440 144.247 242.901 8.742550 8.742550 5.602440 13.309788
D090 22.5895 120.416 8.032750 9.729740 8.708310 138.555 238.775 9.729740 9.729740 8.708310 15.330609
D103 22.6269 120.305 4.821780 5.726050 4.306500 146.409 242.506 5.726050 5.726050 4.306500 8.636154
D105 22.9394 120.46 21.977300 27.175400 18.055200 118.341 253.75 27.175400 27.175400 18.055200 39.338204
D106 22.6229 120.313 7.774720 6.757360 2.044720 145.87 242.193 7.774720 7.774720 2.044720 10.501860
D107 22.6238 120.282 9.225120 7.892790 6.484170 148.609 242.806 9.225120 9.225120 6.484170 13.763845
D108 22.8143 120.224 23.594800 51.085500 8.993770 145.662 251.273 51.085500 51.085500 8.993770 56.985356
D109 22.9114 120.199 16.435300 14.274800 6.929770 145.009 255.63 16.435300 16.435300 6.929770 22.845365
D110 22.6084 120.272 6.331440 6.238530 4.549920 150.34 242.417 6.331440 6.331440 4.549920 9.985397
D111 22.6443 120.526 13.493900 22.794700 6.111310 125.725 238.417 22.794700 22.794700 6.111310 27.185139
D112 22.5822 120.544 10.045900 7.880460 3.460100 127.944 235.352 10.045900 10.045900 3.460100 13.228532
